[INFO] [1787220530.311107771] [tray_section_viewer]: Tray registration reference: /home/juchan-yoon/FR5_robot_control/vision_assembly/data/tray_reference_no_tape.jpg
[INFO] [1787220530.311461888] [tray_section_viewer]: Reference features: 117; no robot commands are sent
[INFO] [1787220657.667283320] [tray_section_viewer]: Tray state=TRACKING, matches=16, inliers=10
[INFO] [1787220657.852052567] [tray_section_viewer]: Tray state=NOT_REGISTERED, matches=22, inliers=9
[INFO] [1787220657.918503978] [tray_section_viewer]: Tray state=TRACKING, matches=26, inliers=14
[INFO] [1787220657.982254408] [tray_section_viewer]: Tray state=NOT_REGISTERED, matches=22, inliers=9
[INFO] [1787220658.116528884] [tray_section_viewer]: Tray state=TRACKING, matches=20, inliers=10
[INFO] [1787220658.384037547] [tray_section_viewer]: Tray state=NOT_REGISTERED, matches=19, inliers=9
[INFO] [1787220658.450058974] [tray_section_viewer]: Tray state=TRACKING, matches=17, inliers=11
[INFO] [1787220757.322458873] [tray_section_viewer]: Tray state=NOT_REGISTERED, matches=27, inliers=12
[INFO] [1787220757.387825163] [tray_section_viewer]: Tray state=TRACKING, matches=39, inliers=18
[INFO] [1787220763.330174771] [tray_section_viewer]: Tray state=NOT_REGISTERED, matches=41, inliers=21
[INFO] [1787220763.396181788] [tray_section_viewer]: Tray state=TRACKING, matches=39, inliers=19
[INFO] [1787220765.126479889] [tray_section_viewer]: Tray state=NOT_REGISTERED, matches=21, inliers=9
[INFO] [1787220765.266117560] [tray_section_viewer]: Tray state=TRACKING, matches=29, inliers=10
[INFO] [1787220765.395573679] [tray_section_viewer]: Tray state=NOT_REGISTERED, matches=27, inliers=10
[INFO] [1787220765.599431495] [tray_section_viewer]: Tray state=TRACKING, matches=23, inliers=10
[INFO] [1787220765.727809067] [tray_section_viewer]: Tray state=NOT_REGISTERED, matches=14, inliers=8
[INFO] [1787220765.795825509] [tray_section_viewer]: Tray state=TRACKING, matches=22, inliers=10
[INFO] [1787220765.863822064] [tray_section_viewer]: Tray state=NOT_REGISTERED, matches=18, inliers=8
[INFO] [1787220765.928448177] [tray_section_viewer]: Tray state=TRACKING, matches=22, inliers=11
[INFO] [1787220767.194232477] [tray_section_viewer]: Tray state=NOT_REGISTERED, matches=19, inliers=8
[INFO] [1787220767.330037666] [tray_section_viewer]: Tray state=TRACKING, matches=19, inliers=10
[INFO] [1787220767.396696717] [tray_section_viewer]: Tray state=NOT_REGISTERED, matches=14, inliers=8
[INFO] [1787220957.530230997] [tray_section_viewer]: Tray state=TRACKING, matches=23, inliers=12
[INFO] [1787220957.600497439] [tray_section_viewer]: Tray state=NOT_REGISTERED, matches=16, inliers=9
[INFO] [1787220958.267562737] [tray_section_viewer]: Tray state=TRACKING, matches=16, inliers=12
[INFO] [1787220958.330151385] [tray_section_viewer]: Tray state=NOT_REGISTERED, matches=16, inliers=9
[INFO] [1787220958.530263822] [tray_section_viewer]: Tray state=TRACKING, matches=20, inliers=11
[INFO] [1787220958.599226051] [tray_section_viewer]: Tray state=NOT_REGISTERED, matches=16, inliers=9
[INFO] [1787220958.800419308] [tray_section_viewer]: Tray state=TRACKING, matches=19, inliers=10
[INFO] [1787220958.932635693] [tray_section_viewer]: Tray state=NOT_REGISTERED, matches=14, inliers=9
[INFO] [1787220959.000275045] [tray_section_viewer]: Tray state=TRACKING, matches=14, inliers=10
[INFO] [1787220959.065398696] [tray_section_viewer]: Tray state=NOT_REGISTERED, matches=13, inliers=0
[INFO] [1787220959.200165940] [tray_section_viewer]: Tray state=TRACKING, matches=18, inliers=10
[INFO] [1787220959.265591933] [tray_section_viewer]: Tray state=NOT_REGISTERED, matches=23, inliers=9
[INFO] [1787220959.414717252] [tray_section_viewer]: Tray state=TRACKING, matches=19, inliers=10
[INFO] [1787220959.466686717] [tray_section_viewer]: Tray state=NOT_REGISTERED, matches=12, inliers=0
[INFO] [1787220959.597812394] [tray_section_viewer]: Tray state=TRACKING, matches=22, inliers=11
